City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Talhar,PK,24.8833,68.8167,79.21,16,0,6.8,clear sky
224,Mehamn,NO,71.0357,27.8492,24.98,92,91,7.96,overcast clouds
225,Faya,SA,18.3851,42.4509,63.12,40,1,6.78,clear sky
226,Ilebo,CD,-4.3167,20.5833,79.84,70,65,2.62,broken clouds
227,Skjervoy,NO,70.0311,20.9714,28.58,57,17,9.84,few clouds
228,Ginda,IN,30.6945,78.4932,47.37,25,0,6.2,clear sky
229,Ancud,CL,-41.8697,-73.8203,50.23,78,0,6.11,clear sky
230,Lorengau,PG,-2.0226,147.2712,81.72,82,91,7.02,overcast clouds
231,Isabela,PH,6.7085,121.9711,86.05,73,94,4.63,moderate rain
232,Lhokseumawe,ID,5.1801,97.1507,83.98,69,100,7.54,light rain
233,Pokrovsk,UA,48.282,37.1758,28.98,94,82,8.21,broken clouds
234,Alofi,NU,-19.0595,-169.9187,81.28,76,91,13.87,overcast clouds
235,Port Hedland,AU,-20.3167,118.5667,93.25,59,24,18.41,few clouds
236,Saint George,US,37.1041,-113.5841,55.99,37,0,21.85,clear sky
237,Zhigansk,RU,66.7697,123.3711,-29.54,97,97,9.28,overcast clouds
238,Kamaishi,JP,39.2667,141.8833,34.38,79,100,5.55,snow
239,Aripuana,BR,-9.1667,-60.6333,71.46,99,100,1.43,overcast clouds
240,Ballina,AU,-28.8667,153.5667,81.79,53,0,9.08,clear sky
241,Inongo,CD,-1.95,18.2667,78.26,69,100,3.33,overcast clouds
242,Barbate,ES,36.1924,-5.9219,57.06,80,10,12.95,clear sky
243,Deputatskiy,RU,69.3,139.9,-27.72,85,80,6.42,broken clouds
244,Songkhla,TH,6.8333,100.6667,89.65,56,100,11.1,overcast clouds
245,Moose Factory,CA,51.2585,-80.6094,19.38,86,100,9.22,overcast clouds
246,Hasaki,JP,35.7333,140.8333,41.4,88,100,20.92,light rain
247,Dikson,RU,73.5069,80.5464,1.53,94,100,20.38,overcast clouds
248,Mozarlandia,BR,-14.7447,-50.5706,70.03,97,100,3.06,overcast clouds
249,Bubaque,GW,11.2833,-15.8333,77.83,69,0,9.13,clear sky
250,Padang,ID,-0.9492,100.3543,87.85,60,100,2.86,overcast clouds
251,Shunyi,CN,40.125,116.6453,49.95,18,0,7.0,clear sky
252,Todos Santos,MX,23.45,-110.2167,69.01,76,1,4.18,clear sky
253,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.46,96,100,8.77,overcast clouds
254,Yar-Sale,RU,66.8333,70.8333,3.18,94,62,14.94,broken clouds
255,Pangnirtung,CA,66.1451,-65.7125,-23.21,88,11,7.25,few clouds
256,Hirara,JP,24.8,125.2833,64.26,94,75,21.85,mist
257,Kirakira,SB,-10.4544,161.9205,80.58,84,96,8.5,overcast clouds
258,Dibombari,CM,4.1787,9.6561,79.29,81,50,2.3,light rain
259,Paso De Carrasco,UY,-34.8603,-56.0522,64.54,82,0,6.91,clear sky
260,Touros,BR,-5.1989,-35.4608,76.1,65,100,6.76,overcast clouds
261,Leningradskiy,RU,69.3833,178.4167,-30.17,97,92,6.62,overcast clouds
262,Pangkalanbuun,ID,-2.6833,111.6167,77.5,90,100,2.51,overcast clouds
263,Otane,NZ,-39.8833,176.6333,74.39,84,41,2.98,scattered clouds
264,Cervo,ES,43.6702,-7.4101,40.19,76,99,4.68,overcast clouds
265,Wajir,KE,1.7471,40.0573,83.68,47,9,12.15,clear sky
266,Ayan,RU,56.45,138.1667,17.73,94,100,6.71,light snow
267,Langham,CA,52.3668,-106.9679,33.03,100,100,12.95,snow
268,Nabire,ID,-3.3667,135.4833,80.76,84,97,1.5,overcast clouds
269,Luanda,AO,-8.8368,13.2343,78.8,73,75,3.44,broken clouds
270,Bangui,CF,4.3612,18.555,83.08,16,75,6.42,broken clouds
271,Pisco,PE,-13.7,-76.2167,70.02,94,40,3.44,scattered clouds
272,Rancho Palos Verdes,US,33.7445,-118.387,76.21,29,0,1.99,clear sky
273,Sao Sebastiao,BR,-23.76,-45.4097,70.83,88,100,1.48,overcast clouds
274,Mbandaka,CD,0.0487,18.2603,83.17,38,74,0.69,broken clouds
275,Kondinskoye,RU,59.6481,67.41,4.28,94,73,10.47,broken clouds
276,Buraydah,SA,26.326,43.975,68.05,22,97,14.94,overcast clouds
277,Kodiak,US,57.79,-152.4072,15.31,57,0,5.75,clear sky
278,Vao,NC,-22.6667,167.4833,80.2,91,100,37.04,light rain
279,Dana Point,US,33.467,-117.6981,75.85,31,0,3.0,clear sky
280,Poronaysk,RU,49.2167,143.1167,21.51,90,86,2.04,overcast clouds
281,Puerto Leguizamo,CO,-0.1934,-74.7819,68.92,98,100,0.47,overcast clouds
282,Kangaatsiaq,GL,68.3065,-53.4641,-14.53,98,100,11.61,overcast clouds
283,Lavrentiya,RU,65.5833,-171.0,-27.27,93,53,7.05,broken clouds
284,Lompoc,US,34.6391,-120.4579,63.57,65,0,4.61,clear sky
285,Carbonia,IT,39.1672,8.5222,41.0,49,0,4.63,clear sky
286,Kyshtovka,RU,56.555,76.6271,3.58,82,26,7.2,scattered clouds
287,Lusambo,CD,-4.9667,23.45,71.17,94,100,2.04,overcast clouds
288,Honiara,SB,-9.4333,159.95,81.39,83,91,7.72,overcast clouds
289,Tahe,CN,52.3333,124.7333,9.81,72,100,4.43,overcast clouds
290,Sabinas Hidalgo,MX,26.5,-100.1667,53.71,63,79,3.24,broken clouds
291,Aktau,KZ,43.65,51.2,41.58,61,5,9.84,clear sky
